radio,mcc,net,area,cell,lon,lat,created,updated
GSM,404,5,118,18261,71.63154602,22.74375916,1459669233,1459669233
GSM,404,5,314,14208,70.94764709,22.61054993,1459669233,1459669233
GSM,404,5,314,14217,70.94078064,22.62840271,1459692335,1465159794
GSM,404,5,2138,48053,70.447769,21.731644,1459692337,1476403754
GSM,404,5,340,40012,72.6587677,23.08158875,1459669222,1459669222
GSM,404,44,1400,40163,77.552965,12.882137,1459703141,1505647889
GSM,404,95,44400,7371,76.28288269,10.07377625,1459682908,1459682908
GSM,404,54,2724,48411,78.280792,28.738632,1459707946,1486681828
GSM,404,42,18000,58804,78.07640076,10.96092224,1459713947,1469513993
GSM,404,15,10061,40201,83.005142,25.317307,1459713946,1485825479
GSM,404,20,33008,36282,72.811203,19.13749695,1459688309,1459688309
GSM,404,10,310,17857,77.233887,28.598099,1459746500,1460507122
GSM,404,42,410,13264,76.94206238,10.90324402,1459725622,1459725622
GSM,404,78,25027,21121,81.91749573,19.17182922,1459728197,1459728197
GSM,404,78,40046,11333,81.91200256,19.16496277,1459728197,1459728197
GSM,404,43,2006,6584,78.607178,10.679398,1459761529,1460076881
GSM,404,43,1155,1672,78.10523987,9.908981323,1459734502,1459734502
GSM,404,43,1155,9345,78.10386658,9.907608032,1459761526,1474510847
GSM,404,45,25054,26742,77.635372,12.960959,1459761540,1491111222
GSM,404,46,20043,13342,76.523895,10.06073,1459768766,1492309106
GSM,404,46,20044,13631,76.544151,10.031548,1459768769,1492309106
GSM,404,46,20043,13173,76.478233,10.115318,1459768765,1492037135
GSM,404,46,20043,13263,76.484299,10.106964,1459768765,1492037152
GSM,404,46,20044,13541,76.530212,10.052902,1459768769,1492309106
GSM,404,57,1141,20441,72.5983429,23.02253723,1459744018,1459744018
GSM,404,88,121,57132,74.59236145,30.32020569,1459746053,1459746053
GSM,404,75,380,38101,86.28318787,22.82478333,1459748737,1459748737
GSM,404,75,380,38383,86.29554749,22.81517029,1459748737,1459748737
GSM,404,75,400,13071,86.75559998,22.28233337,1459748775,1459748775
GSM,404,74,40,50072,86.9052887,22.30705261,1459748775,1459748775
GSM,404,75,2054,54852,86.67732239,22.34962463,1459748770,1459748770
GSM,404,75,2054,54981,86.39579773,22.68608093,1459748748,1459748748
GSM,404,75,380,38992,86.30378723,22.80693054,1459748748,1459748748
GSM,404,81,40,40482,88.50379944,22.69981384,1459748809,1459748809
GSM,404,81,127,27331,88.14537048,22.52952576,1459802116,1462760519
GSM,404,70,316,64851,75.861282,26.806641,1459807869,1460932200
GSM,404,70,486,7261,75.86128235,26.80595398,1459753303,1459753303
GSM,404,44,8407,45541,75.63606262,15.4309845,1459751565,1459751565
GSM,404,75,360,36502,86.197494,22.784683,1459807873,1470473322
GSM,404,80,2419,19252,79.02122498,10.72883606,1459810863,1460425806
GSM,404,69,441,41132,73.01994324,19.02351379,1459760685,1459760685
GSM,404,69,441,41083,73.031502,19.030116,1459812330,1634693789
GSM,404,14,5062,58783,75.87226868,30.92308044,1459767461,1459767461
GSM,404,86,40008,121,75.13343811,15.36643982,1459768942,1459768942
GSM,404,45,25101,10901,77.549229,12.997513,1459813822,1490337579
GSM,404,45,25051,28562,77.622528,13.008499,1459813822,1475196425
GSM,404,27,271,6027,73.776038,18.604268,1459814330,1487752941
GSM,404,45,25051,16473,77.657822,13.017079,1459814879,1563454716
GSM,404,45,25083,45591,77.675477,12.999775,1459814879,1563454312
GSM,404,92,1224,52413,72.850244,19.2196,1459833201,1482396976
GSM,404,5,2138,48063,70.454979,21.740227,1459692337,1476403754
GSM,404,20,27015,15183,72.83396,19.065502,1459713946,1512123277
GSM,404,20,33008,6193,72.800611,19.145562,1459688309,1549093652
GSM,404,78,40046,11411,81.91749573,19.17182922,1459728197,1459728197
GSM,404,57,1141,20211,72.59971619,23.02116394,1459744018,1459744018
GSM,404,57,1141,62143,72.59971619,23.01979065,1459744018,1459744018
GSM,404,92,1104,21471,72.811203,18.98780823,1459786700,1474504636
GSM,404,15,40666,52146,80.3011322,26.46263123,1459751532,1459751532
GSM,404,27,151,54852,74.08561707,19.48631287,1459754095,1459754095
GSM,404,86,33004,4031,74.7077179,16.73286438,1459753831,1459753831
GSM,404,86,32603,461,75.13343811,15.36643982,1459768942,1459768942
GSM,404,45,1829,7243,77.578237,12.903589,1341098391,1432272707
GSM,404,45,1829,13382,77.578163,12.903671,1341275841,1429740114
GSM,404,10,122,14422,77.07939148,28.35914612,1341345863,1341356703
GSM,404,94,112,22772,77.230452,11.495135,1341392785,1448246750
UMTS,404,75,12001,78720588,85.107536,25.602837,1341462126,1341462126
UMTS,404,75,12001,78720587,85.10765076,25.60295105,1341462133,1341462133
GSM,404,45,1829,15791,77.578583,12.904816,1341573511,1432272707
GSM,404,19,417,59832,76.048393,10.638199,1341678287,1341829003
UMTS,404,19,38012,52553733,76.04804993,10.63819885,1341659985,1341659985
UMTS,404,19,38012,52517695,76.04804993,10.63819885,1341678287,1341829752
UMTS,404,19,38012,52508973,76.048013,10.638236,1341678287,1341828941
GSM,404,13,20026,23472,78.38401794,17.59391785,1341704194,1341704194
UMTS,404,16,35054,33120818,94.012027,24.628139,1341460855,1341460855
GSM,404,16,13,25132,94.014816,24.62534,1341763655,1448498850
GSM,404,16,13,25161,94.01413,24.625854,1341763655,1448498850
UMTS,404,16,35054,33120847,94.01516,24.625168,1341459887,1341459887
UMTS,404,16,35054,33120817,94.004388,24.636068,1341449185,1341449185
UMTS,404,16,35054,33122729,93.993393,24.647525,1341448032,1341448032
UMTS,404,16,35051,33109948,93.941938,24.716373,1341763659,1403046938
